Age,Potential,foot,Value,Wage,Height_cm,Weight_kg,Acceleration,Sprint speed,Agility,Reactions,Balance,Stamina,Strength,International reputation,Is_On_Loan,Is_Free_Agent,Contract_Years_Left,Team_encoded,Forward Score,Midfielder Score,Defender Score,Goalkeeper Score,Position Category_Defender,Position Category_Forward,Position Category_Goalkeeper,Position Category_Midfielder
20,81,1,15.424948670398354,9.105090961257083,185,75,73,74,71.0,70,65.0,80,67,1,0,0,1,14.778545296063328,70.2,74.0,68.2,10.0,0.0,0.0,0.0,1.0
23,87,1,17.516812556768127,10.491301994830229,179,73,85,79,84.0,77,85.0,85,63,1,0,0,3,14.779062305639217,81.4,79.6,40.4,10.6,0.0,0.0,0.0,1.0
16,88,1,15.607270193858982,10.275085591132717,170,68,92,89,85.0,65,88.0,62,54,1,0,0,2,16.86388772637158,79.6,64.8,38.2,9.8,0.0,0.0,0.0,1.0
23,86,0,17.588271519047417,10.859018228147889,180,77,96,96,86.0,82,81.0,77,67,3,0,0,1,16.29071338028664,88.6,74.8,41.2,10.0,0.0,1.0,0.0,0.0
17,87,0,16.906553056777135,11.097425172408933,178,74,79,73,82.0,74,80.0,73,60,1,0,0,5,16.96522190662038,75.2,75.8,52.4,9.0,0.0,0.0,0.0,1.0
25,83,1,17.1654146803266,11.362114203075018,190,89,82,93,64.0,82,56.0,77,84,3,0,0,3,15.952355419115731,69.0,69.0,81.8,11.2,1.0,0.0,0.0,0.0
17,88,0,16.380459992348886,10.12667110305036,168,67,77,68,84.0,74,89.0,55,34,1,0,0,2,16.115248598807046,73.6,69.0,34.2,10.2,0.0,0.0,0.0,1.0
18,89,1,17.6867115897055,11.156264806643742,183,79,72,77,67.0,83,66.0,70,79,3,0,0,3,16.110771798167953,65.2,79.6,82.6,10.2,1.0,0.0,0.0,0.0
18,83,1,15.123843647884687,9.305741456739437,194,80,59,64,52.0,72,48.0,72,79,1,0,0,4,15.660628856237905,62.4,72.4,69.6,11.2,0.0,0.0,0.0,1.0
38,77,0,14.603968372873895,10.691967639914864,169,72,54,36,67.0,70,81.0,51,64,2,0,0,0,15.493555595814872,62.0,77.2,63.2,9.4,0.0,0.0,0.0,1.0
17,83,1,14.845130332288226,8.517393171418904,186,75,69,70,74.0,61,81.0,60,56,1,0,0,3,14.624266601305315,71.0,65.6,41.4,10.6,0.0,0.0,0.0,1.0
17,86,0,16.066802461833923,9.39274525863144,171,62,85,69,88.0,58,89.0,66,49,1,0,0,3,14.774002259598848,75.0,73.8,28.4,9.8,0.0,0.0,0.0,1.0
22,86,1,17.840862266556567,11.81303746480054,187,80,75,79,80.0,84,75.0,83,79,3,0,0,5,16.273324631901854,80.8,83.6,67.2,10.6,0.0,0.0,0.0,1.0
17,95,0,18.80594315154573,11.652696102959752,181,72,88,84,94.0,88,83.0,76,60,5,0,0,5,16.110771798167953,86.2,85.2,31.2,9.2,0.0,0.0,0.0,1.0
18,87,1,16.588099342704055,9.680406499268877,187,80,83,86,85.0,76,84.0,64,69,1,0,0,4,15.069761955844752,82.6,67.4,45.0,12.4,0.0,0.0,0.0,1.0
17,87,1,14.648420115681892,8.853808274977197,184,77,65,68,66.0,61,66.0,55,58,1,1,0,0,14.160765640455322,66.8,56.2,26.8,12.4,0.0,1.0,0.0,0.0
25,86,1,17.795192230557824,11.775297421715829,183,80,86,82,85.0,84,78.0,74,76,3,0,0,1,16.110771798167953,83.8,79.2,42.2,11.8,0.0,1.0,0.0,0.0
16,88,1,15.009433329466964,8.699681400989514,169,60,79,77,75.0,50,75.0,61,40,1,0,0,2,14.407476106611805,70.8,63.6,26.0,10.0,0.0,0.0,0.0,1.0
23,82,0,16.300417291085605,9.61587214452889,176,72,83,77,92.0,69,80.0,71,50,1,0,0,4,15.313189815440062,77.2,69.2,33.0,9.0,0.0,1.0,0.0,0.0
17,86,1,17.11134746100564,9.61587214452889,186,72,76,74,69.0,73,68.0,80,75,1,0,0,3,15.040738918543592,68.6,79.2,74.0,9.6,0.0,0.0,0.0,1.0
22,86,1,17.516812556768127,11.407576060361786,179,69,75,68,76.0,83,84.0,88,75,1,0,0,3,16.21376218881171,73.6,83.0,78.8,8.0,0.0,0.0,0.0,1.0
21,84,1,16.929025911619092,11.19822841866684,180,72,88,84,87.0,77,85.0,74,42,1,0,0,6,16.948545828682747,81.0,72.8,36.8,11.0,0.0,0.0,0.0,1.0
24,79,1,15.38412668421143,9.546884034617923,176,73,84,82,81.0,68,71.0,64,50,1,1,0,0,14.819217976213192,76.0,68.8,45.8,12.4,0.0,0.0,0.0,1.0
20,89,0,17.918153939529997,11.31448672129398,186,81,78,80,80.0,76,61.0,77,68,1,0,0,2,15.453629132234278,79.0,81.4,57.2,11.8,0.0,0.0,0.0,1.0
38,86,0,16.906553056777135,9.680406499268877,169,67,82,71,82.0,80,89.0,70,68,4,0,0,2,13.697317458623615,81.8,83.2,37.4,10.8,0.0,0.0,0.0,1.0
